,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Freistaat Wind,Freistaat Wind,LOC,0.00000000,0.00000000,de,1.10000000,,-1,,,,,,
Mittelmeerraum,Mittelmeerraum,LOC,-1.81818182,0.00000000,de,1.10000000,,-1,,,,,,
Friedrichshain,Friedrichshain,LOC,0.45454545,0.45454545,de,1.10000000,,-1,,,,,,
Kultfilms,Kultfilms,LOC,1.27272727,0.00000000,de,1.10000000,,-1,,,,,,
Wetterwoche,Wetterwoche,LOC,0.90909091,0.00000000,de,1.10000000,,-1,,,,,,
Herbstferien,Herbstferien,LOC,0.63636364,0.00000000,de,1.10000000,,-1,,,,,,
Zügen,Zügen,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Metern,Metern,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Schneeverwehungen im Schwarzwald,Schneeverwehungen im Schwarzwald,LOC,1.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Sachsen-Anhalts,Sachsen-Anhalts,LOC,0.00000000,1.00000000,de,1.00000000,,-1,,,,,,
Dresden/Magdeburg/Erfurt,Dresden/Magdeburg/Erfurt,LOC,-0.70000000,0.00000000,de,1.00000000,,-1,,,,,,
Infrastrukturministeriums,Infrastrukturministeriums,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Südschwarzwal…,Südschwarzwal…,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Arnsberg,Arnsberg,LOC,0.00000000,0.00000000,de,1.00000000,4003007-6,2955471,X,51.38333000,8.08333000,EUROPE,Germany,WCE
www.zuginfo.nrw,www.zuginfo.nrw,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Berges,Berges,LOC,-0.35000000,0.50000000,de,1.00000000,,-1,,,,,,
stürmische Böen,stürmische Böen,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Glätte-Alarm,Glätte-Alarm,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Neuschnee,Neuschnee,LOC,-0.70000000,0.00000000,de,1.00000000,,-1,,,,,,
